1,Toshiba Medical Information Systems Corporation,"320,000,000",0,0,0,0,"320,000,000"
2,FUJITSU CHUBU SYSTEMS LIMITED,"240,000,000",0,0,0,0,"240,000,000"
3,"Kyocera Maruzen Systems Integration Co., Ltd.","140,000,000",0,0,0,0,"140,000,000"
4,Paltac Corporation,"120,000,000",0,0,0,0,"120,000,000"
5,"Murata Machinery,Ltd.","100,000,000",0,0,0,0,"100,000,000"
6,"Tsuzuki Densan Co., Ltd.","100,000,000",0,0,0,0,"100,000,000"
7,NTT Data Group,"100,000,000",0,0,0,0,"100,000,000"
8,Hewlett-Packard Japan Ltd.,"80,000,000",0,0,0,0,"80,000,000"
9,"AEON Integrated Business Service Co., Ltd.","60,000,000",0,0,0,0,"60,000,000"
10,"Seiren System Service Co., Ltd.","60,000,000",0,0,0,0,"60,000,000"
11,Nomura Data Systems Inc.,"40,000,000",0,0,0,0,"40,000,000"
12,Yamani System Service Corporation,"40,000,000",0,0,0,0,"40,000,000"
13,"datacube Co., Ltd.","40,000,000",0,0,0,0,"40,000,000"
14,"Japan DynaSystems, Inc.","40,000,000",0,0,0,0,"40,000,000"
15,TMR Systems Inc.,"40,000,000",0,0,0,0,"40,000,000"
16,"Mitsui Zosen Systems Research, Inc.","20,000,000",0,0,0,0,"20,000,000"
17,Meiden Software Corporation,"20,000,000",0,0,0,0,"20,000,000"
18,"Core Create System Co., Ltd.","20,000,000",0,0,0,0,"20,000,000"
19,Soka University,"20,000,000",0,0,0,0,"20,000,000"
20,Cosmotec Patent Information Systems Inc.,"20,000,000",0,0,0,0,"20,000,000"
21,"N-System Co., Ltd.","10,000,000",0,0,0,0,"10,000,000"
22,NANO Medical Corporation,"10,000,000",0,0,0,0,"10,000,000"
23,QUICK Corp.,"10,000,000",0,0,0,0,"10,000,000"
24,NETMARKS INC.,"10,000,000",0,0,0,0,"10,000,000"
25,"Systemgiken Co., Ltd.","10,000,000",0,0,0,0,"10,000,000"
26,Computer Brains Inc.,"10,000,000",0,0,0,0,"10,000,000"
27,"UL Systems, Inc.","5,000,000",0,0,0,0,"5,000,000"
28,"Medical Information System Co., Ltd.","5,000,000",0,0,0,0,"5,000,000"
29,NTT DATA TOKAI CORPORATION,"5,000,000",0,0,0,0,"5,000,000"
30,"MAPSYSTEM Co., Ltd","5,000,000",0,0,0,0,"5,000,000"
31,"NST Globalist, Inc.","5,000,000",0,0,0,0,"5,000,000"
32,"Digital Office.Co., Ltd.","5,000,000",0,0,0,0,"5,000,000"
33,"Computer Applicationware Laboratory Co., Ltd.","5,000,000",0,0,0,0,"5,000,000"
34,transcosmos inc.,"5,000,000",0,0,0,0,"5,000,000"
35,"Nippon Software Service CO., LTD.","2,000,000",0,0,0,0,"2,000,000"
36,Environmental Research Inst. Inc.,"2,000,000",0,0,0,0,"2,000,000"
37,NTT BizLink,"1,000,000",0,0,0,0,"1,000,000"
38,CKS,"1,000,000",0,0,0,0,"1,000,000"
