1,Fujitsu Social Science Laboratory Ltd.,"160,000,000",0,0,0,"160,000,000"
2,Hewlett-Packard Japan Ltd.,"120,000,000",0,0,0,"120,000,000"
3,Toshiba Sumiden Medical Information Systems Corporation,"100,000,000",0,0,0,"100,000,000"
4,"Kyocera Maruzen Systems Integration Co., Ltd.","40,000,000",0,0,0,"40,000,000"
5,Paltac Corporation,"10,000,000",0,0,0,"10,000,000"
6,"Core Create System Co., Ltd.","30,000,000",0,0,0,"30,000,000"
7,"Murata Machinery,Ltd.","50,000,000",0,0,0,"50,000,000"
8,NETMARKS INC.,"40,000,000",0,0,0,"40,000,000"
9,"Seiren System Service Co., Ltd.","20,000,000",0,0,0,"20,000,000"
10,"datacube Co., Ltd.","20,000,000",0,0,0,"20,000,000"
11,"Tsuzuki Densan Co., Ltd.","10,000,000",0,0,0,"10,000,000"
12,Computer Brains Inc.,"10,000,000",0,0,0,"10,000,000"
13,"AEON Integrated Business Service Co., Ltd.","20,000,000",0,0,0,"20,000,000"
14,Nomura Data Systems Inc.,"20,000,000",0,0,0,"20,000,000"
15,"Japan DynaSystems, Inc.","10,000,000",0,0,0,"10,000,000"
16,"ARC International Co, Ltd.","10,000,000",0,0,0,"10,000,000"
17,"Mitsui Zosen Systems Research, Inc.","10,000,000",0,0,0,"10,000,000"
18,Cosmotec Patent Information Systems Inc.,"10,000,000",0,0,0,"10,000,000"
19,QUICK Corp.,"10,000,000",0,0,0,"10,000,000"
20,Meiden Software Corporation,"10,000,000",0,0,0,"10,000,000"
21,"Potato Software, Inc.","5,000,000",0,0,0,"5,000,000"
22,Tomis Systems K.K.,"5,000,000",0,0,0,"5,000,000"
23,ITOCHU Techno-Solutions Corporation,"3,000,000",0,0,0,"3,000,000"
24,"Nippon Software Service CO., LTD.","3,000,000",0,0,0,"3,000,000"
25,NTT Data Corporation,"2,000,000",0,0,0,"2,000,000"
26,NTT BizLink Corporation,"2,000,000",0,0,0,"2,000,000"
27,"Medical Data Vision Co., Ltd.","2,000,000",0,0,0,"2,000,000"
28,NTT DATA TOKAI CORPORATION,"2,000,000",0,0,0,"2,000,000"
29,"MAPSYSTEM Co., Ltd","2,000,000",0,0,0,"2,000,000"
30,"VENDOR SERVICE CO., LTD.","2,000,000",0,0,0,"2,000,000"
31,"NIWS Medical System Co., Ltd.","2,000,000",0,0,0,"2,000,000"
32,Environmental Research Inst. Inc.,"2,000,000",0,0,0,"2,000,000"
33,"NST Globalist, Inc.","1,000,000",0,0,0,"1,000,000"
34,"TKU CO., LTD.","1,000,000",0,0,0,"1,000,000"
35,Bell Capsule Takasaki,"1,000,000",0,0,0,"1,000,000"
36,"Nippon Express Co., Ltd.","1,000,000",0,0,0,"1,000,000"
37,DM Research Center Corporation,"1,000,000",0,0,0,"1,000,000"
38,"Systemgiken Co., Ltd.","1,000,000",0,0,0,"1,000,000"
39,System Dynamics Inc.,"1,000,000",0,0,0,"1,000,000"
40,"Computer Applicationware Laboratory Co., Ltd.","1,000,000",0,0,0,"1,000,000"
41,M-tone,"1,000,000",0,0,0,"1,000,000"
42,"Medical Information Co., Ltd.","1,000,000",0,0,0,"1,000,000"
43,DENSEISHA,"1,000,000",0,0,0,"1,000,000"
44,ATMC Inc.,"1,000,000",0,0,0,"1,000,000"
45,"Sanyodo Books Co., Ltd.",10000000,0,0,0,10000000
46,Soka University,"1,000,000",0,0,0,"1,000,000"
47,"Nippon Truck Co., Ltd.","1,000,000",0,0,0,"1,000,000"
48,NewLib. Co.,"1,000,000",0,0,0,"1,000,000"
49,"UKnet, Inc.","1,000,000",0,0,0,"1,000,000"
50,NIHON Micronics Inc.,"1,000,000",0,0,0,"1,000,000"
51,SUN SYSTEM Corporation,"1,000,000",0,0,0,"1,000,000"
52,"CHI CO., LTD.","1,000,000",0,0,0,"1,000,000"
53,Buddy Communications K.K.,"1,000,000",0,0,0,"1,000,000"
54,Shimizu Syntec Corporation,"1,000,000",0,0,0,"1,000,000"
55,"Information Services International - Denstu., Ltd.","1,000,000",0,0,0,"1,000,000"
56,"Sumitomo Electric System Solutions Co., Ltd.","1,000,000",0,0,0,"1,000,000"
57,Japan Systems Create Co.,"1,000,000",0,0,0,"1,000,000"
58,"CIJ Next Co.,Ltd.","1,000,000",0,0,0,"1,000,000"
59,"Infolerk co., ltd.","1,000,000",0,0,0,"1,000,000"
60,Rikei Corporation,"1,000,000",0,0,0,"1,000,000"
61,"Ryobi Systems Co., Ltd.","1,000,000",0,0,0,"1,000,000"
62,Auctech Inc.,"1,000,000",0,0,0,"1,000,000"
63,"Nittsu Information Systems Co., Ltd.","1,000,000",0,0,0,"1,000,000"
64,"Nittetsu Elex Co., Ltd.","1,000,000",0,0,0,"1,000,000"
65,"Nihon Soft Technology Co., Ltd.","1,000,000",0,0,0,"1,000,000"
66,IDEA 21,"1,000,000",0,0,0,"1,000,000"
67,"Hitachi, Ltd.","1,000,000",0,0,0,"1,000,000"
68,FUJITSU LIMITED,"1,000,000",0,0,0,"1,000,000"
69,"Shin Nippon Biomedical Laboratories, Ltd.","1,000,000",0,0,0,"1,000,000"
70,TRUST BRAIN INC.,"1,000,000",0,0,0,"1,000,000"
71,transcosmos inc.,"1,000,000",0,0,0,"1,000,000"
72,Techno Management Solutions Ltd.,"1,000,000",0,0,0,"1,000,000"
73,IT-Brain Corporation,"1,000,000",0,0,0,"1,000,000"
74,NTT DATA SEKISUI SYSTEMS CORPORATION,"1,000,000",0,0,0,"1,000,000"
75,"Roops, Inc.","1,000,000",0,0,0,"1,000,000"
76,"EC-One, Inc.","1,000,000",0,0,0,"1,000,000"
77,"Technical Software Consultant, INC.","1,000,000",0,0,0,"1,000,000"
78,Item Inc.,"1,000,000",0,0,0,"1,000,000"
79,Inter Software Inc.,"1,000,000",0,0,0,"1,000,000"
80,"Techno System Co., Ltd.","1,000,000",0,0,0,"1,000,000"
81,TMR Systems Inc.,"1,000,000",0,0,0,"1,000,000"
82,YAGIMOKU,"1,000,000",0,0,0,"1,000,000"
83,"Furuno Electric Co., Ltd.","1,000,000",0,0,0,"1,000,000"
84,CSL,"1,000,000",0,0,0,"1,000,000"
85,Torem Corporation,"1,000,000",0,0,0,"1,000,000"
86,Vinculum Japan Corporation,"1,000,000",0,0,0,"1,000,000"
87,SET Software Corporation,"1,000,000",0,0,0,"1,000,000"
88,"Neec System Technology Co., Ltd.","1,000,000",0,0,0,"1,000,000"
89,"Van Data System Co., Ltd.","1,000,000",0,0,0,"1,000,000"
90,"HONDA R&D Co., Ltd. - Wako R&D Center","1,000,000",0,0,0,"1,000,000"
91,SEIKO EPSON CORPORATION,"1,000,000",0,0,0,"1,000,000"
92,Works Solutions,"1,000,000",0,0,0,"1,000,000"
93,Fab Solutions Company Limited,"1,000,000",0,0,0,"1,000,000"
94,Seafic Software Corporation,"1,000,000",0,0,0,"1,000,000"
95,K.K. CROWD,"1,000,000",0,0,0,"1,000,000"
96,JAVAONE Corporation,"1,000,000",0,0,0,"1,000,000"
97,"Laurel Intelligent Systems Co., Ltd.","1,000,000",0,0,0,"1,000,000"
98,T&S Research Inc.,"1,000,000",0,0,0,"1,000,000"
99,"MIS Co., Ltd.","1,000,000",0,0,0,"1,000,000"
100,"Panasonic Electronic Devices Co., Ltd.","1,000,000",0,0,0,"1,000,000"
101,PBJ Inc.,"1,000,000",0,0,0,"1,000,000"
102,Keio University Media Center Head Office,"1,000,000",0,0,0,"1,000,000"
103,Planet Corp.,"1,000,000",0,0,0,"1,000,000"
104,"Cosmo Medical System Co., Ltd.","1,000,000",0,0,0,"1,000,000"
105,Max System Consult,"1,000,000",0,0,0,"1,000,000"
106,"MEIDEN KOHSAN CO., LTD.","1,000,000",0,0,0,"1,000,000"
107,"Plus-A Co., Ltd","1,000,000",0,0,0,"1,000,000"
108,Gallop,"1,000,000",0,0,0,"1,000,000"
109,"Knowledge Works, Inc.","1,000,000",0,0,0,"1,000,000"
110,Nippon Computer Systems Corp.,"1,000,000",0,0,0,"1,000,000"
