1,Toshiba Sumiden Medical Information Systems Corporation,"160,000,000",0,0,0,0,"160,000,000"
2,"Kyocera Maruzen Systems Integration Co., Ltd.","100,000,000",0,0,0,0,"100,000,000"
3,Paltac Corporation,"100,000,000",0,0,0,0,"100,000,000"
4,Hewlett-Packard Japan Ltd.,"100,000,000",0,0,0,0,"100,000,000"
5,"Murata Machinery,Ltd.","80,000,000",0,0,0,0,"80,000,000"
6,"Tsuzuki Densan Co., Ltd.","60,000,000",0,0,0,0,"60,000,000"
7,NTT Data Group,"60,000,000",0,0,0,0,"60,000,000"
8,Nomura Data Systems Inc.,"60,000,000",0,0,0,0,"60,000,000"
9,"Seiren System Service Co., Ltd.","40,000,000",0,0,0,0,"40,000,000"
10,Meiden Software Corporation,"40,000,000",0,0,0,0,"40,000,000"
11,"datacube Co., Ltd.","40,000,000",0,0,0,0,"40,000,000"
12,Computer Brains Inc.,"20,000,000",0,0,0,0,"20,000,000"
13,TMR Systems Inc.,"20,000,000",0,0,0,0,"20,000,000"
14,"Japan DynaSystems, Inc.","20,000,000",0,0,0,0,"20,000,000"
15,"AEON Integrated Business Service Co., Ltd.","20,000,000",0,0,0,0,"20,000,000"
16,"Mitsui Zosen Systems Research, Inc.","20,000,000",0,0,0,0,"20,000,000"
17,"Core Create System Co., Ltd.","20,000,000",0,0,0,0,"20,000,000"
18,NETMARKS INC.,"10,000,000",0,0,0,0,"10,000,000"
19,Cosmotec Patent Information Systems Inc.,"10,000,000",0,0,0,0,"10,000,000"
20,QUICK Corp.,"10,000,000",0,0,0,0,"10,000,000"
21,Tomis Systems K.K.,"5,000,000",0,0,0,0,"5,000,000"
22,"MAPSYSTEM Co., Ltd","5,000,000",0,0,0,0,"5,000,000"
23,"Nippon Software Service CO., LTD.","5,000,000",0,0,0,0,"5,000,000"
24,Soka University,"5,000,000",0,0,0,0,"5,000,000"
25,"NST Globalist, Inc.","5,000,000",0,0,0,0,"5,000,000"
26,"N-System Co., Ltd.","5,000,000",0,0,0,0,"5,000,000"
27,"VENDOR SERVICE CO., LTD.","5,000,000",0,0,0,0,"5,000,000"
28,"Systemgiken Co., Ltd.","5,000,000",0,0,0,0,"5,000,000"
29,"ARC International Co, Ltd.","5,000,000",0,0,0,0,"5,000,000"
30,Environmental Research Inst. Inc.,"1,000,000",0,0,0,0,"1,000,000"
31,NTT DATA TOKAI CORPORATION,"1,000,000",0,0,0,0,"1,000,000"
32,NewLib. Co.,"1,000,000",0,0,0,0,"1,000,000"
33,"Medical Data Vision Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
34,Avancer,"1,000,000",0,0,0,0,"1,000,000"
35,NTT Bizlink,"1,000,000",0,0,0,0,"1,000,000"
36,"Digital Office.Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
37,"Medical Information System Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
38,"Nippon Express Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
39,Fujitsu Social Science Laboratory Ltd.,"1,000,000",0,0,0,0,"1,000,000"
40,"IBS Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
41,Inter Software Inc.,"1,000,000",0,0,0,0,"1,000,000"
42,Okazaki City Medical Association,"1,000,000",0,0,0,0,"1,000,000"
43,transcosmos inc.,"1,000,000",0,0,0,0,"1,000,000"
44,Lehman Brothers Japan Inc.,"1,000,000",0,0,0,0,"1,000,000"
45,"TKU CO., LTD.","1,000,000",0,0,0,0,"1,000,000"
46,"Computer Applicationware Laboratory Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
47,"Sanyodo Books Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
48,MVB,"1,000,000",0,0,0,0,"1,000,000"
49,System Dynamics Inc.,"1,000,000",0,0,0,0,"1,000,000"
50,"EC-One, Inc.","1,000,000",0,0,0,0,"1,000,000"
51,"NIWS Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
52,SET Software Corporation,"1,000,000",0,0,0,0,"1,000,000"
53,"TOKAI-SOFT Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
54,"Joho Systems, LLC","1,000,000",0,0,0,0,"1,000,000"
55,ARI,"1,000,000",0,0,0,0,"1,000,000"
56,"Chori Co., LTD.","1,000,000",0,0,0,0,"1,000,000"
57,NANO Medical Corporation,"1,000,000",0,0,0,0,"1,000,000"
58,"Sumitomo Electric System Solutions Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
59,TOKYO COMPUTER FIDELITY CORP.,"1,000,000",0,0,0,0,"1,000,000"
60,"New Concept Co., Ltd.","1,000,000",0,0,0,0,"1,000,000"
61,M-tone,"1,000,000",0,0,0,0,"1,000,000"
62,Mitsubishi Chemical Medience Corporation,"1,000,000",0,0,0,0,"1,000,000"
63,JAVAONE Corporation,"100,000",0,0,0,0,"100,000"
64,"Ryobi Systems Co., Ltd.","100,000",0,0,0,0,"100,000"
65,"Peak Consulting Group Co., Ltd.","100,000",0,0,0,0,"100,000"
66,DENSEISHA,"100,000",0,0,0,0,"100,000"
67,"FUJIFILM MEDICAL CO., LTD.","100,000",0,0,0,0,"100,000"
68,Shimizu Syntec Corporation,"100,000",0,0,0,0,"100,000"
69,Idai Service Inc.,"100,000",0,0,0,0,"100,000"
70,Auctech Inc.,"100,000",0,0,0,0,"100,000"
71,TAIYO SYSTEM,"100,000",0,0,0,0,"100,000"
72,"TOYO SYSTEM CO., LTD.","100,000",0,0,0,0,"100,000"
73,"UKnet, Inc.","100,000",0,0,0,0,"100,000"
74,SUN SYSTEM Corporation,"100,000",0,0,0,0,"100,000"
75,"Nippon Truck Co., Ltd.","100,000",0,0,0,0,"100,000"
76,"Cosmo Medical System Co., Ltd.","100,000",0,0,0,0,"100,000"
77,"Nippon Jimuki CO., LTD.","100,000",0,0,0,0,"100,000"
78,UNIADEX Ltd.,"100,000",0,0,0,0,"100,000"
79,"Technical Software Consultant, INC.","100,000",0,0,0,0,"100,000"
80,"Infolerk co., ltd.","100,000",0,0,0,0,"100,000"
81,CKS,"100,000",0,0,0,0,"100,000"
82,Foundation Jiaikai,"100,000",0,0,0,0,"100,000"
83,"KAMIJO MEDICAL INSTRUMENTS, INC.","100,000",0,0,0,0,"100,000"
84,Sophia Inc.,"100,000",0,0,0,0,"100,000"
85,"Furuno Electric Co., Ltd.","100,000",0,0,0,0,"100,000"
86,Techno Management Solutions Ltd.,"100,000",0,0,0,0,"100,000"
87,"Nihon Soft Technology Co., Ltd.","100,000",0,0,0,0,"100,000"
88,Torem Corporation,"100,000",0,0,0,0,"100,000"
89,"COSMO MEDICAL SYSTEM CO., LTD.","100,000",0,0,0,0,"100,000"
90,"AsMediX Co.,Ltd.","100,000",0,0,0,0,"100,000"
91,"Mediceo Paltac Holdings Co., Ltd.","100,000",0,0,0,0,"100,000"
92,Otsuka Pharmaceuticals Tokushima Research Center,"100,000",0,0,0,0,"100,000"
93,Rikei Corporation,"100,000",0,0,0,0,"100,000"
94,Big Valley International Inc.,"100,000",0,0,0,0,"100,000"
95,"Nittsu Information Systems Co., Ltd.","100,000",0,0,0,0,"100,000"
96,"NTT EAST-YAMAGATA Co., Ltd.","100,000",0,0,0,0,"100,000"
97,"CIJ Next Co.,Ltd.","100,000",0,0,0,0,"100,000"
98,NTT DATA SEKISUI SYSTEMS CORPORATION,"100,000",0,0,0,0,"100,000"
99,Seafic Software Corporation,"100,000",0,0,0,0,"100,000"
100,AGREX INC.,"100,000",0,0,0,0,"100,000"
101,DM Research Center Corporation,"100,000",0,0,0,0,"100,000"
102,TRUST BRAIN INC.,"100,000",0,0,0,0,"100,000"
103,T&S Research Inc.,"100,000",0,0,0,0,"100,000"
104,"Van Data System Co., Ltd.","100,000",0,0,0,0,"100,000"
105,INFOCOM CORPORATION,"100,000",0,0,0,0,"100,000"
106,Kagoshima Prefectural Comprehensive Health Center,"100,000",0,0,0,0,"100,000"
107,Tokyo Healthcare University,"100,000",0,0,0,0,"100,000"
108,Keio University Media Center Head Office,"100,000",0,0,0,0,"100,000"
109,Planet Corp.,"100,000",0,0,0,0,"100,000"
110,"Roops, Inc.","100,000",0,0,0,0,"100,000"
111,"QualiTech, Inc.","100,000",0,0,0,0,"100,000"
112,"Plus-A Co., Ltd","100,000",0,0,0,0,"100,000"
113,Eiwa,"100,000",0,0,0,0,"100,000"
114,"Knowledge Works, Inc.","100,000",0,0,0,0,"100,000"
115,Sodachi Hoikuen,"100,000",0,0,0,0,"100,000"
