1,Toshiba Medical Information Systems Corporation,"300,000,000",0,0,0,"300,000,000"
2,NTT Data Group,"300,000,000",0,0,0,"300,000,000"
3,"Core Create System Co., Ltd.","200,000,000",0,0,0,"200,000,000"
4,"Kyocera Maruzen Systems Integration Co., Ltd.","140,000,000",0,0,0,"140,000,000"
5,Paltac Corporation,"120,000,000",0,0,0,"120,000,000"
6,"TSUZUKI DENKI CO., LTD.","120,000,000",0,0,0,"120,000,000"
7,Hewlett-Packard Japan Ltd.,"80,000,000",0,0,0,"80,000,000"
8,"Murata Machinery,Ltd.","60,000,000",0,0,0,"60,000,000"
9,"datacube Co., Ltd.","60,000,000",0,0,0,"60,000,000"
10,"SEIREN Co., Ltd.","60,000,000",0,0,0,"60,000,000"
11,"AEON Integrated Business Service Co., Ltd.","60,000,000",0,0,0,"60,000,000"
12,Meiden Software Corporation,"40,000,000",0,0,0,"40,000,000"
13,Nomura Data Systems Inc.,"40,000,000",0,0,0,"40,000,000"
14,"Mitsui Zosen Systems Research, Inc.","40,000,000",0,0,0,"40,000,000"
15,Computer Brains Inc.,"20,000,000",0,0,0,"20,000,000"
16,Cosmotec Patent Information Systems Inc.,"20,000,000",0,0,0,"20,000,000"
17,TMR Systems Inc.,"20,000,000",0,0,0,"20,000,000"
18,NANO Medical Corporation,"20,000,000",0,0,0,"20,000,000"
19,Yamani System Service Corporation,"20,000,000",0,0,0,"20,000,000"
20,NETMARKS INC.,"20,000,000",0,0,0,"20,000,000"
21,"Medical Engineering Institute, Inc.","10,000,000",0,0,0,"10,000,000"
22,"N-System Co., Ltd.","10,000,000",0,0,0,"10,000,000"
23,"UL Systems, Inc.","10,000,000",0,0,0,"10,000,000"
24,QUICK Corp.,"10,000,000",0,0,0,"10,000,000"
25,NTT DATA TOKAI CORPORATION,"5,000,000",0,0,0,"5,000,000"
26,"MAPSYSTEM Co., Ltd","5,000,000",0,0,0,"5,000,000"
27,"Systemgiken Co., Ltd.","5,000,000",0,0,0,"5,000,000"
28,"Medical Information System Co., Ltd.","5,000,000",0,0,0,"5,000,000"
29,Environmental Research Inst. Inc.,"5,000,000",0,0,0,"5,000,000"
30,"Macros Japan, Inc.","5,000,000",0,0,0,"5,000,000"
31,exscion Inc.,"5,000,000",0,0,0,"5,000,000"
