1,NTT Data Group,\,"500,000,000",0,0,0,"500,000,000"
2,Canon Medical Systems Corporation,\,"300,000,000",0,0,0,"300,000,000"
3,"KYOCERA Communication Systems Co., Ltd.",\,"200,000,000",0,0,0,"200,000,000"
4,"TSUZUKI DENKI CO., LTD.",\,"200,000,000",0,0,0,"200,000,000"
5,Murata Group,\,"120,000,000",0,0,0,"120,000,000"
6,PALTAC Corporation,\,"80,000,000",0,0,0,"80,000,000"
7,"Core Create System Co., Ltd.",\,"80,000,000",0,0,0,"80,000,000"
8,"datacube Co., Ltd.",\,"70,000,000",0,0,0,"70,000,000"
9,TMR Systems Inc.,\,"50,000,000",0,0,0,"50,000,000"
10,"SEIREN Co., Ltd.",\,"40,000,000",0,0,0,"40,000,000"
11,Nomura Data Systems Inc.,\,"40,000,000",0,0,0,"40,000,000"
12,MEDIPAL HOLDINGS CORPORATION,\,"40,000,000",0,0,0,"40,000,000"
13,"AEON Integrated Business Service Co., Ltd.",\,"40,000,000",0,0,0,"40,000,000"
14,WISEMAN Co.Ltd.,\,"30,000,000",0,0,0,"30,000,000"
15,Japan Patent Data Service Co.,\,"20,000,000",0,0,0,"20,000,000"
16,QUICK Corp.,\,"20,000,000",0,0,0,"20,000,000"
17,Mitsui E&S Systems Research Inc.,\,"20,000,000",0,0,0,"20,000,000"
18,Meiden System Solutions Corporation,\,"20,000,000",0,0,0,"20,000,000"
19,"DXC Technology Japan, Ltd.",\,"20,000,000",0,0,0,"20,000,000"
20,Yamani System Service Corporation,\,"20,000,000",0,0,0,"20,000,000"
21,Iwate Medical University,\,"10,000,000",0,0,0,"10,000,000"
22,IUK Inc.,\,"10,000,000",0,0,0,"10,000,000"
23,"PROAS Co., Ltd.",\,"10,000,000",0,0,0,"10,000,000"
24,"UL Systems, Inc.",\,"10,000,000",0,0,0,"10,000,000"
25,"N-System Co., Ltd.",\,"10,000,000",0,0,0,"10,000,000"
26,Gappa Co. Ltd.,\,"5,000,000",0,0,0,"5,000,000"
27,"Nippon Software Service CO., LTD.",\,"5,000,000",0,0,0,"5,000,000"
28,VIAMS Inc.,\,"5,000,000",0,0,0,"5,000,000"
29,"Medical Information System Co., Ltd.",\,"5,000,000",0,0,0,"5,000,000"
30,"Medical Engineering Institute, Inc.",\,"5,000,000",0,0,0,"5,000,000"
31,"TOKAI-SOFT Co., Ltd.",\,"5,000,000",0,0,0,"5,000,000"
32,"Systemgiken Co., Ltd.",\,"5,000,000",0,0,0,"5,000,000"
33,"Japan DynaSystems, Inc.",\,"3,000,000",0,0,0,"3,000,000"
34,"Digital Office.Co., Ltd.",\,"3,000,000",0,0,0,"3,000,000"
