TOSHIBA MEDICAL SYSTEMS CORPORATION,"400,000,000",0,0,0,"400,000,000"
"KYOCERA Communication Systems Co., Ltd.","160,000,000",0,0,0,"160,000,000"
"Murata Machinery,Ltd.","140,000,000",0,0,0,"140,000,000"
"TSUZUKI DENKI CO., LTD.","120,000,000",0,0,0,"120,000,000"
PSP Corporation,"100,000,000",0,0,0,"100,000,000"
PALTAC Corporation,"80,000,000",0,0,0,"80,000,000"
"SEIREN Co., Ltd.","80,000,000",0,0,0,"80,000,000"
Nomura Data Systems Inc.,"80,000,000",0,0,0,"80,000,000"
NTT Data Group,"60,000,000",0,0,0,"60,000,000"
"Core Create System Co., Ltd.","40,000,000",0,0,0,"40,000,000"
MEDIPAL HOLDINGS CORPORATION,"40,000,000",0,0,0,"40,000,000"
WISEMAN Co.Ltd.,"40,000,000",0,0,0,"40,000,000"
"AEON Integrated Business Service Co., Ltd.","40,000,000",0,0,0,"40,000,000"
"datacube Co., Ltd.","20,000,000",0,0,0,"20,000,000"
Hewlett-Packard Japan Ltd.,"20,000,000",0,0,0,"20,000,000"
Meiden System Solutions Corporation,"20,000,000",0,0,0,"20,000,000"
Yamani System Service Corporation,"20,000,000",0,0,0,"20,000,000"
QUICK Corp.,"20,000,000",0,0,0,"20,000,000"
NTT DATA TOKAI CORPORATION,"20,000,000",0,0,0,"20,000,000"
"Medical Information System Co., Ltd.","20,000,000",0,0,0,"20,000,000"
"PROAS Co., Ltd.","10,000,000",0,0,0,"10,000,000"
"Mitsui Zosen Systems Research, Inc.","10,000,000",0,0,0,"10,000,000"
"Medical Engineering Institute, Inc.","10,000,000",0,0,0,"10,000,000"
TMR Systems Inc.,"10,000,000",0,0,0,"10,000,000"
"UL Systems, Inc.","5,000,000",0,0,0,"5,000,000"
"Systemgiken Co., Ltd.","5,000,000",0,0,0,"5,000,000"
"Murata Systems, Ltd.","5,000,000",0,0,0,"5,000,000"
CKS,"5,000,000",0,0,0,"5,000,000"
