1,Toshiba Sumiden Medical Information Systems Corporation,"240,000,000",0,0,0,0,0,"240,000,000"
2,NTT DATA GROUP,"200,000,000",0,0,0,0,0,"200,000,000"
3,Hewlett-Packard Japan Ltd.,"160,000,000",0,0,0,0,0,"160,000,000"
4,Paltac Corporation,"100,000,000",0,0,0,0,0,"100,000,000"
5,"Kyocera Maruzen Systems Integration Co., Ltd.","100,000,000",0,0,0,0,0,"100,000,000"
6,"Tsuzuki Densan Co., Ltd.","80,000,000",0,0,0,0,0,"80,000,000"
7,Nomura Data Systems Inc.,"60,000,000",0,0,0,0,0,"60,000,000"
8,"N-System Co., Ltd.","40,000,000",0,0,0,0,0,"40,000,000"
9,Computer Brains Inc.,"40,000,000",0,0,0,0,0,"40,000,000"
10,"Murata Machinery,Ltd.","40,000,000",0,0,0,0,0,"40,000,000"
11,"Core Create System Co., Ltd.","40,000,000",0,0,0,0,0,"40,000,000"
12,"Japan DynaSystems, Inc.","20,000,000",0,0,0,0,0,"20,000,000"
13,Meiden Software Corporation,"20,000,000",0,0,0,0,0,"20,000,000"
14,"Seiren System Service Co., Ltd.","20,000,000",0,0,0,0,0,"20,000,000"
15,"datacube Co., Ltd.","20,000,000",0,0,0,0,0,"20,000,000"
16,"EC-One, Inc.","10,000,000",0,0,0,0,0,"10,000,000"
17,QUICK Corp.,"10,000,000",0,0,0,0,0,"10,000,000"
18,Tomis Systems K.K.,"10,000,000",0,0,0,0,0,"10,000,000"
19,NETMARKS INC.,"10,000,000",0,0,0,0,0,"10,000,000"
20,"ICAL Co., Ltd.","10,000,000",0,0,0,0,0,"10,000,000"
21,"Macros Japan, Inc.","5,000,000",0,0,0,0,0,"5,000,000"
22,TMR Systems Inc.,"5,000,000",0,0,0,0,0,"5,000,000"
23,"AEON Integrated Business Service Co., Ltd.","5,000,000",0,0,0,0,0,"5,000,000"
24,"Mitsui Zosen Systems Research, Inc.","5,000,000",0,0,0,0,0,"5,000,000"
25,NANO Medical Corporation,"5,000,000",0,0,0,0,0,"5,000,000"
26,"Digital Office.Co., Ltd.","5,000,000",0,0,0,0,0,"5,000,000"
27,Cosmotec Patent Information Systems Inc.,"5,000,000",0,0,0,0,0,"5,000,000"
28,"Nippon Software Service CO., LTD.","5,000,000",0,0,0,0,0,"5,000,000"
29,NewLib. Co.,"2,000,000",0,0,0,0,0,"2,000,000"
30,Fujitsu Social Science Laboratory Ltd.,"2,000,000",0,0,0,0,0,"2,000,000"
31,Joint System,"2,000,000",0,0,0,0,0,"2,000,000"
32,"MAPSYSTEM Co., Ltd","2,000,000",0,0,0,0,0,"2,000,000"
33,"NST Globalist, Inc.","2,000,000",0,0,0,0,0,"2,000,000"
34,Soka University,"2,000,000",0,0,0,0,0,"2,000,000"
35,Environmental Research Inst. Inc.,"2,000,000",0,0,0,0,0,"2,000,000"
36,NTT Bizlink,"1,000,000",0,0,0,0,0,"1,000,000"
37,"IBS Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
38,"Medical Information System Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
39,"Medical Data Vision Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
40,"Nippon Express Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
41,NTT DATA TOKAI CORPORATION,"1,000,000",0,0,0,0,0,"1,000,000"
42,Japan Association of Medical Informatics,"1,000,000",0,0,0,0,0,"1,000,000"
43,KYUSHU UNIVERSITY,"1,000,000",0,0,0,0,0,"1,000,000"
44,CKS,"1,000,000",0,0,0,0,0,"1,000,000"
45,"Medical Engineering Institute, Inc.","1,000,000",0,0,0,0,0,"1,000,000"
46,"Nihon Soft Technology Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
47,CME,"1,000,000",0,0,0,0,0,"1,000,000"
48,"Sanyodo Books Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
49,The University of Aizu,"1,000,000",0,0,0,0,0,"1,000,000"
50,"Nippon Jimuki CO., LTD.","1,000,000",0,0,0,0,0,"1,000,000"
51,"Infolerk co., ltd.","1,000,000",0,0,0,0,0,"1,000,000"
52,"Chori Com Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
53,Sophia Inc.,"1,000,000",0,0,0,0,0,"1,000,000"
54,Rikei Corporation,"1,000,000",0,0,0,0,0,"1,000,000"
55,"Systemgiken Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
56,transcosmos inc.,"1,000,000",0,0,0,0,0,"1,000,000"
57,"Peak Consulting Group Co., Ltd.","1,000,000",0,0,0,0,0,"1,000,000"
58,System Dynamics Inc.,"1,000,000",0,0,0,0,0,"1,000,000"
59,M-tone,"1,000,000",0,0,0,0,0,"1,000,000"
60,Medi Plus,"1,000,000",0,0,0,0,0,"1,000,000"
61,Inter Software Inc.,"100,000",0,0,0,0,0,"100,000"
62,Shimizu Syntec Corporation,"100,000",0,0,0,0,0,"100,000"
63,"RICOH TECHNOSYSTEMS Co., LTD.","100,000",0,0,0,0,0,"100,000"
64,Avancer,"100,000",0,0,0,0,0,"100,000"
65,"UKnet, Inc.","100,000",0,0,0,0,0,"100,000"
66,"Bits Co., Ltd.","100,000",0,0,0,0,0,"100,000"
67,Eiwa,"100,000",0,0,0,0,0,"100,000"
68,SUN SYSTEM Corporation,"100,000",0,0,0,0,0,"100,000"
69,SET Software Corporation,"100,000",0,0,0,0,0,"100,000"
70,"Technical Software Consultant, INC.","100,000",0,0,0,0,0,"100,000"
71,Fujishoji Co.Ltd,"100,000",0,0,0,0,0,"100,000"
72,DENSEISHA,"100,000",0,0,0,0,0,"100,000"
73,ARTHUR Inc.,"100,000",0,0,0,0,0,"100,000"
74,"TKU CO., LTD.","100,000",0,0,0,0,0,"100,000"
75,"KAMIJO MEDICAL INSTRUMENTS, INC.","100,000",0,0,0,0,0,"100,000"
76,Win Medical Support Center Inc.,"100,000",0,0,0,0,0,"100,000"
77,"Nippon Truck Co., Ltd.","100,000",0,0,0,0,0,"100,000"
78,Torem Corporation,"100,000",0,0,0,0,0,"100,000"
79,"COSMO MEDICAL SYSTEM CO., LTD.","100,000",0,0,0,0,0,"100,000"
80,TRUST BRAIN INC.,"100,000",0,0,0,0,0,"100,000"
81,Big Valley International Inc.,"100,000",0,0,0,0,0,"100,000"
82,MVB,"100,000",0,0,0,0,0,"100,000"
83,OMRON Corporation,"100,000",0,0,0,0,0,"100,000"
84,"SUMITA Optical Glass, Inc.","100,000",0,0,0,0,0,"100,000"
85,"Nittsu Information Systems Co., Ltd.","100,000",0,0,0,0,0,"100,000"
86,SPREAD,"100,000",0,0,0,0,0,"100,000"
87,"NIHON ADVANCED SYSTEM CO., LTD.","100,000",0,0,0,0,0,"100,000"
88,"Symbiosis International, Inc.","100,000",0,0,0,0,0,"100,000"
89,"NTT EAST-YAMAGATA Co., Ltd.","100,000",0,0,0,0,0,"100,000"
90,"Hikida Sangyo Co., Ltd.","100,000",0,0,0,0,0,"100,000"
91,"SGI Japan, Ltd.","100,000",0,0,0,0,0,"100,000"
92,TAIYO SYSTEM,"100,000",0,0,0,0,0,"100,000"
93,Seafic Software Corporation,"100,000",0,0,0,0,0,"100,000"
94,T&S Research Inc.,"100,000",0,0,0,0,0,"100,000"
95,"Van Data System Co., Ltd.","100,000",0,0,0,0,0,"100,000"
96,Ajinomoto Packaging Corporation,"100,000",0,0,0,0,0,"100,000"
97,Tokyo Healthcare University,"100,000",0,0,0,0,0,"100,000"
98,Keio University Media Center Head Office,"100,000",0,0,0,0,0,"100,000"
99,Planet Corp.,"100,000",0,0,0,0,0,"100,000"
100,"Roops, Inc.","100,000",0,0,0,0,0,"100,000"
101,"QualiTech, Inc.","100,000",0,0,0,0,0,"100,000"
102,Sodachi Hoikuen,"100,000",0,0,0,0,0,"100,000"
103,"Plus-A Co., Ltd","100,000",0,0,0,0,0,"100,000"
104,"Knowledge Works, Inc.","100,000",0,0,0,0,0,"100,000"
