ALP,"200,000",0,,,,,"200,000"
Alto Academy Inc.,"100,000",0,,,,,"100,000"
Arata Corporation,"1,000,000",0,,,,,"1,000,000"
AT Communications Inc.,"200,000",0,,,,,"200,000"
Bell Capsule Takasaki,"400,000",0,,,,,"400,000"
CAI SYSTEM Corporation,"100,000",0,,,,,"100,000"
Computer Brains Inc.,"10,000,000",0,,,,,"10,000,000"
"Core Create System Co., Ltd.","10,000,000",0,,,,,"10,000,000"
Cosmotec Patent Information Systems Inc.,"4,000,000",0,,,,,"4,000,000"
CRC Solutions Corp.,"4,000,000",0,,0,,,"4,000,000"
"datacube Co., Ltd.","4,000,000",0,,,,,"4,000,000"
Environmental Research Inst. Inc.,"2,000,000",0,,,,,"2,000,000"
Framework K.K.,"100,000",0,,,,,"100,000"
GE Capital Leasing Corporation,"600,000",0,,,,,"600,000"
Hewlett-Packard Japan Ltd.,"12,000,000",0,,,,,"12,000,000"
"Hitachi East Japan Solutions, Ltd","200,000",0,,,,,"200,000"
"ICAL Co., Ltd.","8,000,000",0,,,,,"8,000,000"
"Infolerk co., ltd.","400,000",0,,,,,"400,000"
Intel K.K.,"100,000",0,,,,,"100,000"
Inter Software Inc.,"2,000,000",0,,,,,"2,000,000"
Item Inc.,"400,000",0,,,,,"400,000"
Japan Association of Medical Infomatics,"100,000",0,,,,,"100,000"
"Japan DynaSystems, Inc.","5,000,000",0,,,,,"5,000,000"
"Japan MSM Co., Ltd.","1,000,000",0,,,,,"1,000,000"
Japan Systems Create Ltd.,"200,000",0,,,,,"200,000"
Keio University Media Center Head Office,"40,000",0,,,,,"40,000"
"Knowledge Works, Inc.","20,000",0,,,,,"20,000"
"Kyocera Maruzen Systems Integration Co., Ltd.","60,000,000",0,,0,,,"60,000,000"
"Laurel Intelligent Systems Co., Ltd.","200,000",0,,,,,"200,000"
M-tone,"400,000",0,,,,,"400,000"
"MAPSYSTEM Co., Ltd","500,000",0,,,,,"500,000"
Medical Data Vision K.K.,"4,000,000",0,,,,,"4,000,000"
"Medical Information Co., Ltd.","4,000,000",0,,,,,"4,000,000"
Meiden Software Corporation,"10,000,000",0,,,,,"10,000,000"
"Mitsui Zosen Systems Research, Inc.","20,000,000",0,,,,,"20,000,000"
"Murata Machinery,Ltd.","60,000,000",0,,,,,"60,000,000"
Nauka Ltd.,"4,000,000",0,,,,,"4,000,000"
"NEC Soft, Ltd.","400,000",0,,0,,,"400,000"
Nippon Computer Systems Corp.,"2,000,000",0,,,,,"2,000,000"
"Nippon Express Co., Ltd.","8,000,000",0,,,0,,"8,000,000"
"Nippon Software Service CO., LTD.","4,000,000",0,0,,,,"4,000,000"
"Nippon Systec Co., Ltd.","2,000,000",0,,,,,"2,000,000"
"Nippon Truck Co., Ltd.","60,000",0,,,,,"60,000"
Nittsu Information Systems,"50,000",0,,0,,,"50,000"
"Nittsu Information Systems Co., Ltd.","40,000",0,,,,,"40,000"
"NIWS Co., Ltd.","1,000,000",0,,0,,,"1,000,000"
Nomura Data Systems Inc.,"600,000",0,,,,,"600,000"
"NST Globalist, Inc.","600,000",0,,0,,,"600,000"
NTT BizLink Corporation,"1,600,000",0,,,,,"1,600,000"
NTT Data Corporation,"15,000,000",0,,,,,"15,000,000"
NTT Data System Service Corporation,"100,000",0,,0,,,"100,000"
Optimum Technology Corporation,"1,000,000",0,,,,,"1,000,000"
Paltac Corporation,"120,000,000",0,,,,,"120,000,000"
Planet Corp.,"50,000",0,,,,,"50,000"
"Potato Software, Inc.","6,000,000",0,,,,,"6,000,000"
"Roops, Inc.","40,000",0,,,,,"40,000"
"Ryobi Systems Co., Ltd.","1,000,000",0,,0,,,"1,000,000"
"Sanyodo Books Co., Ltd.","3,000,000",0,,0,,,"3,000,000"
"SBS Information Systems Co., Ltd.","4,000,000",0,,0,,0,"4,000,000"
Seafic Software Corporation,"100,000",0,,,,,"100,000"
"Seiren System Service Co., Ltd.","30,000,000",0,,,,,"30,000,000"
SET Software Corporation,"160,000",0,,0,,,"160,000"
Shimizu Syntec Corporation,"100,000",0,,,,,"100,000"
"Sumitomo Electric Field System Co., Ltd.","1,000,000",0,,,,,"1,000,000"
T&S Research Inc.,"200,000",0,,,,,"200,000"
"Takachiho UseWare CO.,LTD","1,200,000",0,,,,,"1,200,000"
TMR Systems,"800,000",0,,,,,"800,000"
Tomis Systems K.K.,"10,000,000",0,,,,,"10,000,000"
Torem Corporation,"150,000",0,,,,,"150,000"
Toshiba Sumiden Medical Information Systems Corporation,"90,000,000",0,,,,,"90,000,000"
TSR,"200,000",0,,0,,,"200,000"
"Tsuzuki Densan Co., Ltd.","2,000,000",0,,,,,"2,000,000"
"UKnet, Inc.","200,000",0,,,,,"200,000"
"Van Data System Co., Ltd.","600,000",0,,,,,"600,000"
