1,TOSHIBA MEDICAL SYSTEMS CORPORATION,\,"320,000,000",0,0,0,"320,000,000"
2,"Kyocera Maruzen Systems Integration Co., Ltd.",\,"180,000,000",0,0,0,"180,000,000"
3,"TSUZUKI DENKI CO., LTD.",\,"140,000,000",0,0,0,"140,000,000"
4,NTT Data Group,\,"100,000,000",0,0,0,"100,000,000"
5,PALTAC Corporation,\,"80,000,000",0,0,0,"80,000,000"
6,"Core Create System Co., Ltd.",\,"60,000,000",0,0,0,"60,000,000"
7,"SEIREN Co., Ltd.",\,"60,000,000",0,0,0,"60,000,000"
8,Hewlett-Packard Japan Ltd.,\,"60,000,000",0,0,0,"60,000,000"
9,MEDICEO CORPORATION,\,"40,000,000",0,0,0,"40,000,000"
10,"PROAS Co., Ltd.",\,"40,000,000",0,0,0,"40,000,000"
11,"Murata Machinery,Ltd.",\,"40,000,000",0,0,0,"40,000,000"
12,"AEON Integrated Business Service Co., Ltd.",\,"40,000,000",0,0,0,"40,000,000"
13,Nomura Data Systems Inc.,\,"40,000,000",0,0,0,"40,000,000"
14,"datacube Co., Ltd.",\,"40,000,000",0,0,0,"40,000,000"
15,TMR Systems Inc.,\,"20,000,000",0,0,0,"20,000,000"
16,Keyware Solutions Inc.,\,"20,000,000",0,0,0,"20,000,000"
17,"Medical Engineering Institute, Inc.",\,"20,000,000",0,0,0,"20,000,000"
18,Meiden System Solutions Corporation,\,"20,000,000",0,0,0,"20,000,000"
19,WISEMAN Co.Ltd.,\,"20,000,000",0,0,0,"20,000,000"
20,QUICK Corp.,\,"20,000,000",0,0,0,"20,000,000"
21,Japan Patent Data Service Co.,\,"10,000,000",0,0,0,"10,000,000"
22,TAIYO SYSTEM,\,"10,000,000",0,0,0,"10,000,000"
23,"Mitsui Zosen Systems Research, Inc.",\,"10,000,000",0,0,0,"10,000,000"
24,"Digital Office.Co., Ltd.",\,"10,000,000",0,0,0,"10,000,000"
25,"Medical Information System Co., Ltd.",\,"10,000,000",0,0,0,"10,000,000"
26,Yamani System Service Corporation,\,"5,000,000",0,0,0,"5,000,000"
27,National Cerebral and Cardiovascular Center,\,"5,000,000",0,0,0,"5,000,000"
28,"UL Systems, Inc.",\,"5,000,000",0,0,0,"5,000,000"
29,"Hitachi, Ltd.",\,"5,000,000",0,0,0,"5,000,000"
30,Club Tourism International Inc.,\,"5,000,000",0,0,0,"5,000,000"
31,"MAPSYSTEM Co., Ltd",\,"5,000,000",0,0,0,"5,000,000"
32,"Systemgiken Co., Ltd.",\,"5,000,000",0,0,0,"5,000,000"
33,"Macros Japan, Inc.",\,"5,000,000",0,0,0,"5,000,000"
34,"N-System Co., Ltd.",\,"5,000,000",0,0,0,"5,000,000"
35,"Japan DynaSystems, Inc.",\,"2,000,000",0,0,0,"2,000,000"
36,"Systembit Co., Ltd.",\,"2,000,000",0,0,0,"2,000,000"
37,NTT DATA TOKAI CORPORATION,\,"2,000,000",0,0,0,"2,000,000"
38,NANO Medical Corporation,\,"2,000,000",0,0,0,"2,000,000"
39,Big Valley International Inc.,\,"2,000,000",0,0,0,"2,000,000"
40,"NST Globalist, Inc.",\,"2,000,000",0,0,0,"2,000,000"
41,Canon Argus Logic Inc.,\,"2,000,000",0,0,0,"2,000,000"
42,Environmental Research Inst. Inc.,\,"2,000,000",0,0,0,"2,000,000"
43,Soka University,\,"2,000,000",0,0,0,"2,000,000"
44,PSP Corporation,\,"2,000,000",0,0,0,"2,000,000"
45,transcosmos inc.,\,"2,000,000",0,0,0,"2,000,000"
46,CKS,\,"2,000,000",0,0,0,"2,000,000"
47,"IC-Solutions.Co.,Ltd",\,"2,000,000",0,0,0,"2,000,000"
48,Fujitsu Social Science Laboratory Ltd.,\,"1,000,000",0,0,0,"1,000,000"
49,"Nippon Software Service CO., LTD.",\,"1,000,000",0,0,0,"1,000,000"
50,Harbor Software Co.,\,"1,000,000",0,0,0,"1,000,000"
51,Japan Association of Medical Informatics,\,"1,000,000",0,0,0,"1,000,000"
52,"Nihon Soft Technology Co., Ltd.",\,"1,000,000",0,0,0,"1,000,000"
53,TOSHIBA INFORMATION SYSTEMS CORPORATION,\,"1,000,000",0,0,0,"1,000,000"
54,"ADWIC Co., Ltd.",\,"1,000,000",0,0,0,"1,000,000"
55,NTT DATA TERANOS CORPORATION,\,"1,000,000",0,0,0,"1,000,000"
56,"TOKAI-SOFT Co., Ltd.",\,"1,000,000",0,0,0,"1,000,000"
57,exscion Inc.,\,"1,000,000",0,0,0,"1,000,000"
58,M-tone,\,"1,000,000",0,0,0,"1,000,000"
59,"Peak Consulting Group Co., Ltd.",\,"1,000,000",0,0,0,"1,000,000"
60,"UNIADEX, Ltd.",\,"1,000,000",0,0,0,"1,000,000"
61,Medical IT Laboratory,\,"1,000,000",0,0,0,"1,000,000"
62,MAIN CORPORATION,\,"1,000,000",0,0,0,"1,000,000"
63,"CIJ Next Co., Ltd.",\,"1,000,000",0,0,0,"1,000,000"
64,"ZECT, Inc.",\,"1,000,000",0,0,0,"1,000,000"
65,Torem Corporation,\,"1,000,000",0,0,0,"1,000,000"
66,"Technical Software Consultant, INC.",\,"1,000,000",0,0,0,"1,000,000"
67,Fujitsu Systems West Limited,\,"1,000,000",0,0,0,"1,000,000"
68,MVB,\,"1,000,000",0,0,0,"1,000,000"
69,OK Corporation,\,"1,000,000",0,0,0,"1,000,000"
